C	0.233009709	P	[	99.69913552	30.17344952	1.04448076	40	]
C	0.44549763	P	[	100.2628085	29.65053833	1.0611877	41	]
C	0.516587678	P	[	100.4682221	30.22837194	1.05772011	41	]
C	0.587378641	P	[	98.61426736	29.13378699	1.01857214	40	]
C	0.753926702	P	[	94.80343052	34.52182378	1.05169577	37	]
C	0.349514563	P	[	99.2336698	29.7779673	1.03845139	40	]
C	0.511848341	P	[	102.1104782	28.28873025	1.04827648	41	]
C	0.417475728	P	[	100.3612302	30.7520215	1.0602162	40	]
C	0.923469388	P	[	96.22579524	34.07585401	1.0717163	38	]
C	0.756218905	P	[	102.2852816	30.63216242	1.06123994	39	]
C	0.795918367	P	[	97.33864185	33.00216699	1.06864588	38	]
C	0.417910448	P	[	99.10011606	31.42182147	1.04665859	39	]
C	1.053398058	P	[	103.4667731	31.4345111	1.10924582	40	]
C	0.611940299	P	[	98.5814727	31.7591445	1.04261064	39	]
C	0.512437811	P	[	99.24521721	30.14827942	1.02745992	39	]
C	0.781725888	P	[	98.45499838	30.85833491	1.00762554	38	]
C	0.300970874	P	[	100.8906196	30.21752228	1.05973504	40	]
C	0.756218905	P	[	99.65230384	29.50505227	1.00827465	39	]
C	0.22815534	P	[	99.69295684	30.12696425	1.04947217	40	]
C	0.419811321	P	[	99.76463217	29.28761227	1.04914695	41	]
C	0.402912621	P	[	100.2127466	30.59955864	1.05218661	40	]
C	0.721393035	P	[	98.3747897	32.3492823	1.06846524	39	]
C	0.381188119	P	[	99.67839739	30.6914562	1.04775962	39	]
C	0.39800995	P	[	99.58114134	30.91142853	1.04916536	39	]
C	0.454976303	P	[	100.6963939	28.44437331	1.03738079	41	]
C	0.678571429	P	[	100.0610865	31.91705937	1.07043203	38	]
C	0.174757282	P	[	99.81681512	29.71053261	1.04146311	40	]
C	0.616113744	P	[	102.252784	28.5988813	1.04886634	41	]
C	0.670050761	P	[	99.57891071	32.22641371	1.0639531	38	]
C	0.475728155	P	[	98.48789144	29.88274781	1.03085928	40	]
C	0.628019324	P	[	101.6312027	30.64322421	1.08349115	40	]
C	0.672985782	P	[	102.2862006	29.2427996	1.06119627	41	]
C	0.976303318	P	[	101.2071263	26.77848507	1.01327421	41	]
C	0.383495146	P	[	99.57577859	29.37310468	1.03665107	40	]
C	0.368159204	P	[	98.80048898	31.44332367	1.04611854	39	]
C	0.643564356	P	[	101.0628218	31.72981861	1.0779175	39	]
C	0.618811881	P	[	101.73122	31.05676478	1.07825036	39	]
C	0.454976303	P	[	100.7643303	28.46616215	1.04000151	41	]
